xrate,date
128.438,2022-08-24
126.3553,2022-08-25
126.5983,2022-08-26
127.1322,2022-08-27
127.1515,2022-08-28
121.0603,2022-08-29
119.3501,2022-08-30
115.8862,2022-08-31
118.091,2022-09-01
117.477,2022-09-02
117.523,2022-09-03
117.4837,2022-09-04
121.0372,2022-09-05
121.0017,2022-09-06
117.5363,2022-09-07
119.4976,2022-09-08
119.6584,2022-09-09
118.5785,2022-09-10
118.5884,2022-09-11
119.5373,2022-09-12
120.4128,2022-09-13
118.0181,2022-09-14
118.9271,2022-09-15
119.0349,2022-09-16
119.0348,2022-09-17
116.083,2022-09-18
118.4185,2022-09-19
119.0003,2022-09-20
119.0866,2022-09-21
119.0618,2022-09-22
118.4202,2022-09-23
119.2531,2022-09-24
119.2354,2022-09-25
118.8653,2022-09-26
118.5829,2022-09-27
121.766,2022-09-28
121.0952,2022-09-29
121.3096,2022-09-30
121.0653,2022-10-01
121.2071,2022-10-02
120.4987,2022-10-03
121.065,2022-10-04
121.4375,2022-10-05
120.6278,2022-10-06
121.4322,2022-10-07
121.4344,2022-10-08
122.2508,2022-10-09
121.4335,2022-10-10
122.4875,2022-10-11
124.081,2022-10-12
124.9982,2022-10-13
125.0533,2022-10-14
125.0533,2022-10-15
124.9552,2022-10-16
126.0803,2022-10-17
123.8698,2022-10-18
124.0242,2022-10-19
125.8733,2022-10-20
126.4653,2022-10-21
126.0759,2022-10-22
126.1456,2022-10-23
127.7483,2022-10-24
125.0815,2022-10-25
123.9111,2022-10-26
125.9874,2022-10-27
129.0881,2022-10-28
129.0993,2022-10-29
129.092,2022-10-30
129.3695,2022-10-31
127.9281,2022-11-01
130.4291,2022-11-02
129.7247,2022-11-03
130.8633,2022-11-04
128.4906,2022-11-05
129.4031,2022-11-06
130.7246,2022-11-07
131.4262,2022-11-08
134.3266,2022-11-09
134.905,2022-11-10
135.6344,2022-11-11
134.4323,2022-11-12
134.4865,2022-11-13
135.402,2022-11-14
135.9892,2022-11-15
136.5563,2022-11-16
136.9755,2022-11-17
137.8913,2022-11-18
137.8855,2022-11-19
137.9397,2022-11-20
137.5271,2022-11-21
138.0469,2022-11-22
137.4885,2022-11-23
139.594,2022-11-24
137.4256,2022-11-25
137.4256,2022-11-26
137.438,2022-11-27
137.6042,2022-11-28
140.6297,2022-11-29
140.4947,2022-11-30
140.9454,2022-12-01
141.5703,2022-12-02
141.5003,2022-12-03
141.4853,2022-12-04
141.9909,2022-12-05
142.5063,2022-12-06
143.469,2022-12-07
142.9813,2022-12-08
145.5487,2022-12-09
142.0382,2022-12-10
145.6391,2022-12-11
144.4178,2022-12-12
144.5011,2022-12-13
145.5627,2022-12-14
145.5656,2022-12-15
145.5557,2022-12-16
145.9918,2022-12-17
146.0217,2022-12-18
146.529,2022-12-19
146.0513,2022-12-20
145.4803,2022-12-21
145.9769,2022-12-22
146.1808,2022-12-23
146.1808,2022-12-24
146.9813,2022-12-25
146.9941,2022-12-26
146.0472,2022-12-27
147.1016,2022-12-28
146.9879,2022-12-29
146.7033,2022-12-30
146.7033,2022-12-31
146.7033,2023-01-01
146.7033,2023-01-02
145.37,2023-01-03
145.6196,2023-01-04
146.0406,2023-01-05
146.3982,2023-01-06
146.7286,2023-01-07
146.7286,2023-01-08
146.7286,2023-01-09
146.8674,2023-01-10
147.1282,2023-01-11
146.9516,2023-01-12
146.8956,2023-01-13
147.0433,2023-01-14
147.0433,2023-01-15
147.0433,2023-01-16
147.1006,2023-01-17
147.1868,2023-01-18
